序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,发送,1,2026-04-29 08:50:19.916.067,0.000000,0,错误帧,数据帧,标准帧,CAN,0,
1,发送,1,2026-04-29 08:50:19.916.071,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
2,发送,1,2026-04-29 08:50:19.916.075,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
3,发送,1,2026-04-29 08:50:19.916.079,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
4,发送,1,2026-04-29 08:50:19.916.083,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
5,发送,1,2026-04-29 08:50:19.916.087,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
6,发送,1,2026-04-29 08:50:19.916.091,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
7,发送,1,2026-04-29 08:50:19.916.095,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
8,发送,1,2026-04-29 08:50:19.916.099,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
9,发送,1,2026-04-29 08:50:19.916.103,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
10,发送,1,2026-04-29 08:50:19.916.107,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
11,发送,1,2026-04-29 08:50:19.916.111,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
12,发送,1,2026-04-29 08:50:19.916.115,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
13,发送,1,2026-04-29 08:50:19.916.119,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
14,发送,1,2026-04-29 08:50:19.916.123,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
15,发送,1,2026-04-29 08:50:19.916.127,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
16,发送,1,2026-04-29 08:50:19.916.131,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
17,接收,1,2026-04-29 08:50:19.916.171,0.000040,1b1,错误帧,数据帧,标准帧,CAN,0,
18,发送,1,2026-04-29 08:50:19.916.923,0.000752,0,错误帧,数据帧,标准帧,CAN,0,
19,发送,1,2026-04-29 08:50:19.917.351,0.000428,0,错误帧,数据帧,标准帧,CAN,0,
20,发送,1,2026-04-29 08:50:19.917.779,0.000428,0,错误帧,数据帧,标准帧,CAN,0,
21,发送,1,2026-04-29 08:50:19.918.207,0.000428,0,错误帧,数据帧,标准帧,CAN,0,
22,接收,1,2026-04-29 08:50:19.918.311,0.000104,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 00 00 f0
23,发送,1,2026-04-29 08:50:19.918.868,0.000557,0,错误帧,数据帧,标准帧,CAN,0,
24,接收,1,2026-04-29 08:50:19.918.971,0.000103,731,报文帧,数据帧,标准帧,CAN,1,05
25,发送,1,2026-04-29 08:50:19.919.420,0.000449,0,错误帧,数据帧,标准帧,CAN,0,
26,发送,1,2026-04-29 08:50:19.919.424,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
27,接收,1,2026-04-29 08:50:19.919.524,0.000100,731,报文帧,数据帧,标准帧,CAN,1,00
28,接收,1,2026-04-29 08:50:19.937.120,0.017596,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 53 13 f0
29,接收,1,2026-04-29 08:50:20.037.118,0.099998,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 6c 13 f0
30,接收,1,2026-04-29 08:50:20.098.475,0.061357,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
31,接收,1,2026-04-29 08:50:20.137.115,0.038640,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 6c 13 f0
32,接收,1,2026-04-29 08:50:20.198.467,0.061352,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
33,接收,1,2026-04-29 08:50:20.237.131,0.038664,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 5b 13 f0
34,接收,1,2026-04-29 08:50:20.298.460,0.061329,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
35,接收,1,2026-04-29 08:50:20.337.132,0.038672,731,报文帧,数据帧,标准帧,CAN,1,05
36,接收,1,2026-04-29 08:50:20.337.396,0.000264,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 53 13 f0
37,接收,1,2026-04-29 08:50:20.393.909,0.056513,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
38,接收,1,2026-04-29 08:50:20.437.133,0.043224,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 46 13 f0
39,接收,1,2026-04-29 08:50:20.498.450,0.061317,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
40,接收,1,2026-04-29 08:50:20.537.154,0.038704,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 48 13 f0
41,接收,1,2026-04-29 08:50:20.593.895,0.056741,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
42,接收,1,2026-04-29 08:50:20.637.151,0.043256,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 50 13 f0
43,接收,1,2026-04-29 08:50:20.693.888,0.056737,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
44,接收,1,2026-04-29 08:50:20.737.168,0.043280,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 64 13 f0
45,接收,1,2026-04-29 08:50:20.793.885,0.056717,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
46,接收,1,2026-04-29 08:50:20.837.169,0.043284,731,报文帧,数据帧,标准帧,CAN,1,05
47,接收,1,2026-04-29 08:50:20.837.401,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 6b 13 f0
48,接收,1,2026-04-29 08:50:20.898.425,0.061024,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
49,接收,1,2026-04-29 08:50:20.937.170,0.038745,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 6c 13 f0
50,接收,1,2026-04-29 08:50:20.998.418,0.061248,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
