序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-04-24 15:36:32.356.591,0.000000,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 98
1,接收,1,2026-04-24 15:36:32.405.648,0.049057,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
2,接收,1,2026-04-24 15:36:32.411.848,0.006200,1b1,报文帧,数据帧,标准帧,CAN,5,6a 27 5d 12 f0
3,接收,1,2026-04-24 15:36:32.425.625,0.013777,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 2a 57 19 00 00
4,接收,1,2026-04-24 15:36:32.426.193,0.000568,18f182a0,报文帧,数据帧,扩展帧,CAN,8,01 00 1a 00 94 00 80 00
5,接收,1,2026-04-24 15:36:32.426.765,0.000572,18f183a0,报文帧,数据帧,扩展帧,CAN,8,c4 09 00 00 1f 03 70 01
6,接收,1,2026-04-24 15:36:32.427.329,0.000564,18f184a0,报文帧,数据帧,扩展帧,CAN,8,00 00 22 00 1f 00 2e 00
7,接收,1,2026-04-24 15:36:32.427.901,0.000572,18f185a0,报文帧,数据帧,扩展帧,CAN,8,21 0a 00 00 20 1c 00 00
8,接收,1,2026-04-24 15:36:32.428.470,0.000569,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 02 01 01 01 00 5f 19
9,接收,1,2026-04-24 15:36:32.429.030,0.000560,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
10,接收,1,2026-04-24 15:36:32.429.594,0.000564,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
11,接收,1,2026-04-24 15:36:32.430.162,0.000568,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 03 15 00
12,接收,1,2026-04-24 15:36:32.430.730,0.000568,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
