序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-05-05 12:52:57.766.860,0.000000,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
1,接收,1,2026-05-05 12:52:57.780.090,0.013230,11,报文帧,数据帧,标准帧,CAN,8,cd 80 00 00 00 00 00 00
2,接收,1,2026-05-05 12:52:57.875.074,0.094984,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
3,接收,1,2026-05-05 12:52:57.914.040,0.038966,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
4,接收,1,2026-05-05 12:52:57.965.842,0.051802,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
5,接收,1,2026-05-05 12:52:57.966.850,0.001008,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
6,接收,1,2026-05-05 12:52:58.061.287,0.094437,11,报文帧,数据帧,标准帧,CAN,8,cd 80 00 00 00 00 00 00
7,接收,1,2026-05-05 12:52:58.074.030,0.012743,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
8,接收,1,2026-05-05 12:52:58.143.842,0.069812,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 03 00 26 4e 18 00 00
9,接收,1,2026-05-05 12:52:58.144.414,0.000572,18f182a0,报文帧,数据帧,扩展帧,CAN,8,9c 00 32 00 9d 00 7d 00
10,接收,1,2026-05-05 12:52:58.144.975,0.000561,18f183a0,报文帧,数据帧,扩展帧,CAN,8,cf 0a 03 00 c1 05 f4 01
11,接收,1,2026-05-05 12:52:58.145.531,0.000556,18f184a0,报文帧,数据帧,扩展帧,CAN,8,de 00 35 00 31 00 3d 00
12,接收,1,2026-05-05 12:52:58.146.092,0.000561,18f185a0,报文帧,数据帧,扩展帧,CAN,8,1a 10 00 00 73 71 00 00
13,接收,1,2026-05-05 12:52:58.146.653,0.000561,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 3a 3b
14,接收,1,2026-05-05 12:52:58.147.209,0.000556,18f187a0,报文帧,数据帧,扩展帧,CAN,8,01 02 02 01 01 01 02 02
15,接收,1,2026-05-05 12:52:58.147.774,0.000565,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 01 02 02
16,接收,1,2026-05-05 12:52:58.148.343,0.000569,18f190a0,报文帧,数据帧,扩展帧,CAN,8,02 00 00 00 00 00 00 00
17,接收,1,2026-05-05 12:52:58.148.923,0.000580,181,报文帧,数据帧,标准帧,CAN,8,00 03 00 26 4e 18 00 00
18,接收,1,2026-05-05 12:52:58.149.412,0.000489,182,报文帧,数据帧,标准帧,CAN,8,9c 00 9d 00 32 00 7d 00
19,接收,1,2026-05-05 12:52:58.149.896,0.000484,183,报文帧,数据帧,标准帧,CAN,8,00 00 5d 00 59 00 65 00
20,接收,1,2026-05-05 12:52:58.150.373,0.000477,184,报文帧,数据帧,标准帧,CAN,8,cf 0a c1 05 f4 01 de 00
21,接收,1,2026-05-05 12:52:58.150.846,0.000473,185,报文帧,数据帧,标准帧,CAN,8,cf 0a 0f 00 00 02 3a 3b
22,接收,1,2026-05-05 12:52:58.151.318,0.000472,186,报文帧,数据帧,标准帧,CAN,8,1a 10 00 00 73 71 00 00
23,接收,1,2026-05-05 12:52:58.151.795,0.000477,191,报文帧,数据帧,标准帧,CAN,8,15 02 00 00 00 00 00 00
24,接收,1,2026-05-05 12:52:58.156.358,0.004563,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
25,接收,1,2026-05-05 12:52:58.166.838,0.010480,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
26,接收,1,2026-05-05 12:52:58.247.098,0.080260,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
27,接收,1,2026-05-05 12:52:58.266.833,0.019735,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
28,接收,1,2026-05-05 12:52:58.342.321,0.075488,11,报文帧,数据帧,标准帧,CAN,8,cd 80 00 00 00 00 00 00
29,接收,1,2026-05-05 12:52:58.394.014,0.051693,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
30,接收,1,2026-05-05 12:52:58.433.059,0.039045,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
31,接收,1,2026-05-05 12:52:58.466.821,0.033762,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
32,接收,1,2026-05-05 12:52:58.528.193,0.061372,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
33,接收,1,2026-05-05 12:52:58.566.819,0.038626,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
34,接收,1,2026-05-05 12:52:58.623.328,0.056509,11,报文帧,数据帧,标准帧,CAN,8,cd 80 00 00 00 00 00 00
35,接收,1,2026-05-05 12:52:58.643.832,0.020504,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 03 00 26 4e 18 00 00
36,接收,1,2026-05-05 12:52:58.644.405,0.000573,18f182a0,报文帧,数据帧,扩展帧,CAN,8,9c 00 2f 00 9d 00 7c 00
37,接收,1,2026-05-05 12:52:58.644.966,0.000561,18f183a0,报文帧,数据帧,扩展帧,CAN,8,cf 0a 03 00 c0 05 f4 01
38,接收,1,2026-05-05 12:52:58.645.522,0.000556,18f184a0,报文帧,数据帧,扩展帧,CAN,8,de 00 35 00 31 00 3d 00
39,接收,1,2026-05-05 12:52:58.646.083,0.000561,18f185a0,报文帧,数据帧,扩展帧,CAN,8,1a 10 00 00 73 71 00 00
40,接收,1,2026-05-05 12:52:58.646.644,0.000561,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 3c 3c
41,接收,1,2026-05-05 12:52:58.647.216,0.000572,18f187a0,报文帧,数据帧,扩展帧,CAN,8,01 02 02 01 01 01 02 02
42,接收,1,2026-05-05 12:52:58.647.781,0.000565,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 01 02 02
43,接收,1,2026-05-05 12:52:58.648.350,0.000569,18f190a0,报文帧,数据帧,扩展帧,CAN,8,02 00 00 00 00 00 00 00
44,接收,1,2026-05-05 12:52:58.648.930,0.000580,181,报文帧,数据帧,标准帧,CAN,8,00 03 00 26 4e 18 00 00
45,接收,1,2026-05-05 12:52:58.649.419,0.000489,182,报文帧,数据帧,标准帧,CAN,8,9c 00 9d 00 2f 00 7c 00
46,接收,1,2026-05-05 12:52:58.649.904,0.000485,183,报文帧,数据帧,标准帧,CAN,8,00 00 5d 00 59 00 65 00
47,接收,1,2026-05-05 12:52:58.650.380,0.000476,184,报文帧,数据帧,标准帧,CAN,8,cf 0a c0 05 f4 01 de 00
48,接收,1,2026-05-05 12:52:58.650.849,0.000469,185,报文帧,数据帧,标准帧,CAN,8,cf 0a 0f 00 00 02 3c 3c
49,接收,1,2026-05-05 12:52:58.651.317,0.000468,186,报文帧,数据帧,标准帧,CAN,8,1a 10 00 00 73 71 00 00
50,接收,1,2026-05-05 12:52:58.651.794,0.000477,191,报文帧,数据帧,标准帧,CAN,8,15 02 00 00 00 00 00 00
51,接收,1,2026-05-05 12:52:58.713.965,0.062171,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
52,接收,1,2026-05-05 12:52:58.714.321,0.000356,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
