序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-05-05 14:58:14.223.819,0.000000,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
1,接收,1,2026-05-05 14:58:14.228.434,0.004615,11,报文帧,数据帧,标准帧,CAN,8,9e 80 00 00 00 00 00 00
2,接收,1,2026-05-05 14:58:14.292.079,0.063645,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
3,接收,1,2026-05-05 14:58:14.319.158,0.027079,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
4,接收,1,2026-05-05 14:58:14.364.170,0.045012,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 28 51 17 00 00
5,接收,1,2026-05-05 14:58:14.364.735,0.000565,18f182a0,报文帧,数据帧,扩展帧,CAN,8,03 00 1a 00 94 00 7b 00
6,接收,1,2026-05-05 14:58:14.365.295,0.000560,18f183a0,报文帧,数据帧,扩展帧,CAN,8,49 0b 00 00 1e 03 20 01
7,接收,1,2026-05-05 14:58:14.365.852,0.000557,18f184a0,报文帧,数据帧,扩展帧,CAN,8,d2 00 34 00 31 00 3c 00
8,接收,1,2026-05-05 14:58:14.366.425,0.000573,18f185a0,报文帧,数据帧,扩展帧,CAN,8,b0 15 00 00 1e 89 00 00
9,接收,1,2026-05-05 14:58:14.366.981,0.000556,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 36 36
10,接收,1,2026-05-05 14:58:14.367.538,0.000557,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
11,接收,1,2026-05-05 14:58:14.368.103,0.000565,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
12,接收,1,2026-05-05 14:58:14.368.671,0.000568,18f190a0,报文帧,数据帧,扩展帧,CAN,8,02 00 00 00 00 00 00 00
13,接收,1,2026-05-05 14:58:14.369.252,0.000581,181,报文帧,数据帧,标准帧,CAN,8,00 01 00 28 51 17 00 00
14,接收,1,2026-05-05 14:58:14.369.732,0.000480,182,报文帧,数据帧,标准帧,CAN,8,03 00 94 00 1a 00 7b 00
15,接收,1,2026-05-05 14:58:14.370.213,0.000481,183,报文帧,数据帧,标准帧,CAN,8,00 00 5c 00 59 00 64 00
16,接收,1,2026-05-05 14:58:14.370.702,0.000489,184,报文帧,数据帧,标准帧,CAN,8,49 0b 1e 03 20 01 d2 00
17,接收,1,2026-05-05 14:58:14.371.170,0.000468,185,报文帧,数据帧,标准帧,CAN,8,49 0b 00 00 00 02 36 36
18,接收,1,2026-05-05 14:58:14.371.639,0.000469,186,报文帧,数据帧,标准帧,CAN,8,b0 15 00 00 1e 89 00 00
19,接收,1,2026-05-05 14:58:14.372.116,0.000477,191,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
20,接收,1,2026-05-05 14:58:14.396.622,0.024506,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
21,接收,1,2026-05-05 14:58:14.414.271,0.017649,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
22,接收,1,2026-05-05 14:58:14.509.432,0.095161,11,报文帧,数据帧,标准帧,CAN,8,f6 80 00 00 00 00 00 00
23,接收,1,2026-05-05 14:58:14.543.802,0.034370,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
24,接收,1,2026-05-05 14:58:14.596.611,0.052809,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
25,接收,1,2026-05-05 14:58:14.600.015,0.003404,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
26,接收,1,2026-05-05 14:58:14.695.176,0.095161,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
27,接收,1,2026-05-05 14:58:14.703.792,0.008616,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
28,接收,1,2026-05-05 14:58:14.790.526,0.086734,11,报文帧,数据帧,标准帧,CAN,8,f6 80 00 00 00 00 00 00
29,接收,1,2026-05-05 14:58:14.792.058,0.001532,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
30,接收,1,2026-05-05 14:58:14.864.162,0.072104,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 28 51 17 00 00
31,接收,1,2026-05-05 14:58:14.864.727,0.000565,18f182a0,报文帧,数据帧,扩展帧,CAN,8,03 00 1a 00 94 00 7b 00
32,接收,1,2026-05-05 14:58:14.865.287,0.000560,18f183a0,报文帧,数据帧,扩展帧,CAN,8,37 0b 00 00 1e 03 24 01
33,接收,1,2026-05-05 14:58:14.865.844,0.000557,18f184a0,报文帧,数据帧,扩展帧,CAN,8,d2 00 34 00 31 00 3c 00
34,接收,1,2026-05-05 14:58:14.866.417,0.000573,18f185a0,报文帧,数据帧,扩展帧,CAN,8,b0 15 00 00 1f 89 00 00
35,接收,1,2026-05-05 14:58:14.866.981,0.000564,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 36 36
36,接收,1,2026-05-05 14:58:14.867.538,0.000557,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
37,接收,1,2026-05-05 14:58:14.868.103,0.000565,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
38,接收,1,2026-05-05 14:58:14.868.671,0.000568,18f190a0,报文帧,数据帧,扩展帧,CAN,8,02 00 00 00 00 00 00 00
39,接收,1,2026-05-05 14:58:14.869.252,0.000581,181,报文帧,数据帧,标准帧,CAN,8,00 01 00 28 51 17 00 00
40,接收,1,2026-05-05 14:58:14.869.732,0.000480,182,报文帧,数据帧,标准帧,CAN,8,03 00 94 00 1a 00 7b 00
41,接收,1,2026-05-05 14:58:14.870.213,0.000481,183,报文帧,数据帧,标准帧,CAN,8,00 00 5c 00 59 00 64 00
42,接收,1,2026-05-05 14:58:14.870.702,0.000489,184,报文帧,数据帧,标准帧,CAN,8,37 0b 1e 03 24 01 d2 00
43,接收,1,2026-05-05 14:58:14.871.170,0.000468,185,报文帧,数据帧,标准帧,CAN,8,37 0b 00 00 00 02 36 36
44,接收,1,2026-05-05 14:58:14.871.647,0.000477,186,报文帧,数据帧,标准帧,CAN,8,b0 15 00 00 1f 89 00 00
45,接收,1,2026-05-05 14:58:14.872.124,0.000477,191,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
46,接收,1,2026-05-05 14:58:14.880.994,0.008870,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
